relpath,topic_dir,sha256,is_duplicate,pages,chars,extract_status,modality,is_nanocluster,mechanisms,is_cu,is_cyclodextrin
1 阿尔兹海默症的基础信息（医学相关）/1-s2.0-S0010854523003648-main.pdf,1 阿尔兹海默症的基础信息（医学相关）,021f3cba4e85856b539d79ffe7732869dd2d6ec7aa337df844311a7b18580cf9,0,,178646,cached,nanomaterial,0,amyloid;tau;neuroinflammation;antioxidant,0,0
1 阿尔兹海默症的基础信息（医学相关）/1-s2.0-S0140673625013297-main.pdf,1 阿尔兹海默症的基础信息（医学相关）,4855257853677b23bf0e3d1d058e5ce8899af3f165addc7589ff4336efd91479,0,,110786,cached,biologic,0,amyloid,0,0
1 阿尔兹海默症的基础信息（医学相关）/1-s2.0-S0140673625013893-main.pdf,1 阿尔兹海默症的基础信息（医学相关）,99b283c6cff9905a0b592e81a32bf1e8a2c3d8deb482e18a69fc66a87de1bc63,0,,122951,cached,biologic,0,amyloid;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/1-s2.0-S0169409X22003088-main.pdf,1 阿尔兹海默症的基础信息（医学相关）,ae98c420f4a3e356f44857a3b5de8d215c71e7f9d5c42d7a8c51d414e0bb14ed,0,,125154,cached,small_molecule,0,gut_microbiome;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/1-s2.0-S1568163724003337-main.pdf,1 阿尔兹海默症的基础信息（医学相关）,d7e6d1ca1eec8685ee1348d3df63ff62f766d036f42875a2fc3758bc6603e396,0,,235575,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
1 阿尔兹海默症的基础信息（医学相关）/Advanced Science - 2026 - Wu - Microplastics‐Induced Gut Microbiota Dysbiosis Accelerates Alzheimer s‐Like Pathology and.pdf,1 阿尔兹海默症的基础信息（医学相关）,ca7d9b3bce116996febb986039740ee053d1ec79050250827a579d03d5e5f7c5,0,,97515,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;autophagy,0,0
1 阿尔兹海默症的基础信息（医学相关）/Cerebrospinal fluid proteomics define the natural history of autosomal dominant Alzheimer’s disease.pdf,1 阿尔兹海默症的基础信息（医学相关）,b5242043799c4668ce31abda1ad91c53051c86a90b7e97d9ad9c77bc4cdc1808,0,,80526,cached,biologic,0,amyloid;tau,0,0
1 阿尔兹海默症的基础信息（医学相关）/CN-19-1273.pdf,1 阿尔兹海默症的基础信息（医学相关）,5827a0abca4434426f68f16fc33e81de48c7456c9dd673fb11b63a8b40c5bc08,0,,196298,cached,biologic,0,amyloid;tau,0,0
1 阿尔兹海默症的基础信息（医学相关）/Emergence of community behaviors in the gut microbiota upon drug treatment.pdf,1 阿尔兹海默症的基础信息（医学相关）,e068d604d5d9df2451da444c17d0caafc508db631dcf95dd09cab14e3a209c7c,0,,106566,cached,biologic,0,gut_microbiome,0,0
1 阿尔兹海默症的基础信息（医学相关）/fnins-12-00962.pdf,1 阿尔兹海默症的基础信息（医学相关）,46cf1087ebfc9386c5aacfd906c61b1da9f471c8036693d495ab576e405415c5,0,,49982,cached,biologic,0,amyloid;tau;neuroinflammation;antioxidant,0,0
1 阿尔兹海默症的基础信息（医学相关）/Gut microbiome composition may be an indicator of preclinical Alzheimer’s disease.pdf,1 阿尔兹海默症的基础信息（医学相关）,d4286ef67969ba3caffad248392b03062361d564827a0c4bdf6c04366d38bc88,0,,112700,cached,biologic,0,gut_microbiome;amyloid;tau,0,0
1 阿尔兹海默症的基础信息（医学相关）/Gut-brain nexus Mapping multimodal links to neurodegeneration at biobank scale.pdf,1 阿尔兹海默症的基础信息（医学相关）,f2fd936371c045463a2b327d6ac10ecad043cbca15bf4df27d9701fefdc81773,0,,118655,cached,unknown,0,gut_microbiome,0,0
1 阿尔兹海默症的基础信息（医学相关）/herrmann2011.pdf,1 阿尔兹海默症的基础信息（医学相关）,4178edd09ffa332c47b5d269143725069efee7c1dbde860d4ccdf80b9c6e6ac8,0,,165475,cached,small_molecule,0,amyloid;tau,0,0
1 阿尔兹海默症的基础信息（医学相关）/jcpm202542_33120675.pdf,1 阿尔兹海默症的基础信息（医学相关）,3be875dbff74d312b6839deb08e633cdfe0aabeec8c100d1c6fdea4da3f4f052,0,,22934,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation;antioxidant,0,0
1 阿尔兹海默症的基础信息（医学相关）/PIIS0092867422015756.pdf,1 阿尔兹海默症的基础信息（医学相关）,a4ab18ee807779cd8020b4254c9c4ab618ae059d20062cdba3f44d95e14f609a,0,,134650,cached,biologic,0,other,0,0
1 阿尔兹海默症的基础信息（医学相关）/PIIS3050562325001497.pdf,1 阿尔兹海默症的基础信息（医学相关）,755d0be854b68292a96504ae5cbc8c643553632d304f152245c04e19d9949c82,0,,72156,cached,nanomaterial,1,amyloid;tau;neuroinflammation;antioxidant,0,0
1 阿尔兹海默症的基础信息（医学相关）/s40035-026-00541-9.pdf,1 阿尔兹海默症的基础信息（医学相关）,3893c824505f77ad8aa5bca9a8ce3beae3710d5a4918533cd8a3c84e637ac4e1,0,,170460,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/s41579-025-01183-w——短链脂肪酸.pdf,1 阿尔兹海默症的基础信息（医学相关）,b2d9b5f0c4076d8a020b8fc894eacdbe4c431e5f12100b389b7a16bd348337f0,0,,113476,cached,biologic,0,gut_microbiome,0,0
1 阿尔兹海默症的基础信息（医学相关）/s41591-025-03677-9——小胶质细胞能协助清楚AB蛋白.pdf,1 阿尔兹海默症的基础信息（医学相关）,97e79494a0d4775f44f8f774aee459dbb205771fc241d150f82da31be58d955d,0,,9675,cached,biologic,0,amyloid;tau;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/sciadv.adr8511.pdf,1 阿尔兹海默症的基础信息（医学相关）,4d87d014ee9c0d07ed87e21d6690d83954fc034d2465cfc8b09b4591969c6e0d,0,,74351,cached,nanomaterial,0,gut_microbiome;amyloid;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/sciadv.adw8410.pdf,1 阿尔兹海默症的基础信息（医学相关）,bf3ec7417a95bfba8764790e4616c826a7ac8f9436455327b9acd28618da8359,0,,97552,cached,biologic,0,gut_microbiome;amyloid;tau;neuroinflammation,0,0
1 阿尔兹海默症的基础信息（医学相关）/阿魏酸可以改善ADsciadv.aat6994.pdf,1 阿尔兹海默症的基础信息（医学相关）,461dc77ea54255969890001d7212dcdf8b58327210576b50345d9e1728fd9a6c,0,,102949,cached,unknown,0,other,0,0
10 选择性抗菌/Adv Funct Materials - 2021 - Sun - Oxygen Self‐Sufficient Nanoplatform for Enhanced and Selective Antibacterial.pdf,10 选择性抗菌,7a3187974843d41555754881215a1e06cca818ec283c9ec3a7fa55645ed91f5c,0,,70520,cached,nanomaterial,0,antioxidant,0,0
10 选择性抗菌/Adv Funct Materials - 2025 - Wang - Selective Adsorption to Pathogenic Bacteria Augments Antibacterial Activity via.pdf,10 选择性抗菌,1fa43f380ccd944b47ae96a01aec30ac3cd53426f8f754234e1ea15a96651f0e,0,,72147,cached,nanomaterial,0,gut_microbiome,0,0
10 选择性抗菌/Advanced Materials - 2023 - Chen - Antibacterial Fusobacterium nucleatum‐Mimicking Nanomedicine to Selectively Eliminate.pdf,10 选择性抗菌,216ec8be281bc153e4f40744b397550af97a07932a25d517871cd3d2a2256ecf,0,,69111,cached,nanomaterial,0,gut_microbiome,0,0
10 选择性抗菌/amino-acid-functionalized-mos2-quantum-dots-for-selective-antibacterial-activity.pdf,10 选择性抗菌,03e4a0ef49f7d8fb86053073d555c42c4a25e7567fdc953ab9c956fbea64337f,0,,35115,cached,nanomaterial,0,antioxidant,0,0
10 选择性抗菌/Angew Chem Int Ed - 2018 - Cuthbert - Surprising Antibacterial Activity and Selectivity of Hydrophilic Polyphosphoniums.pdf,10 选择性抗菌,cd8e4106c4bc2ca28b8d43b978b25e408e419a265da1dd48cf128c80c283b32b,0,,21368,cached,biologic,0,other,0,0
10 选择性抗菌/Angew Chem Int Ed - 2023 - Sahoo - Photo‐Controlled Gating of Selective Bacterial Membrane Interaction and Enhanced.pdf,10 选择性抗菌,4175407dc45aac8518536a1252819780194529af02ce60160ce00440855d345a,0,,54168,cached,nanomaterial,0,antioxidant,0,1
10 选择性抗菌/Angew Chem Int Ed - 2023 - Zhang - Structural Element of Vitamin U‐Mimicking Antibacterial Polypeptide with Ultrahigh.pdf,10 选择性抗菌,72181ff505d0e9bc891c2f469a30d9c1650d5a5f1ddc73e956471b5a0b709289,0,,49409,cached,nanomaterial,0,other,0,0
10 选择性抗菌/ChemBioChem - 2024 - Kaur - Development of Nanomaterials‐Based Agents for Selective Antibacterial Activity.pdf,10 选择性抗菌,5cc3f741dfb740765c2fc37a14293ee0cedf0e4e4836c1c90f22e75f1fbf4ade,0,,96049,cached,nanomaterial,0,antioxidant,1,0
10 选择性抗菌/s40843-024-2989-0.pdf,10 选择性抗菌,576aa6a0a3e1fee5b41cbf2889784d343e95b0bf827f1fae7ebaacd160d557d8,0,,54810,cached,nanomaterial,0,other,0,0
10 选择性抗菌/s41467-018-08190-x.pdf,10 选择性抗菌,576cafde72aaab548a1ee7a22193a2c58d2e4a73f2c413f8fd3984000591fc3e,0,,85544,cached,biologic,0,antioxidant,0,0
10 选择性抗菌/superparamagnetic-nickel-nanocluster-embedded-mos2-nanosheets-for-gram-selective-bacterial-adhesion-and-antibacterial.pdf,10 选择性抗菌,138e1711c56b3607c3b9ba47673c6b833a424942f0de8b3a0a4795095ea1750e,0,,56419,cached,nanomaterial,1,other,0,0
11 补充-Cu菌群交叉/PMID31459656_PMC6648608.pdf,11 补充-Cu菌群交叉,5c651cdbeb281d65ff61c6b9d158d4c1ad217621586988eae61dba668c02c65a,0,,57608,cached,nanomaterial,1,other,1,0
11 补充-Cu菌群交叉/PMID38741962_PMC11089525.pdf,11 补充-Cu菌群交叉,2aee8d9789622f2cd7f7f17ff47872ca6b34e099f51606f470038ae997865142,0,,28610,cached,nanomaterial,1,other,1,0
11 补充-Cu菌群交叉/PMID39135557_PMC11317476.pdf,11 补充-Cu菌群交叉,c977ad40cbbff28465bffb6d50cc8a44d503512eccea764b3f7b6247fc44e83a,0,,113275,cached,biologic,0,gut_microbiome;antioxidant,1,0
